# Порог поддержки: 1%
# Всего транзакций: 7501
# Найдено наборов: 261
# набор | поддержка (доля) | поддержка (кол-во)
сливочное масло | 0.0301 | 226
цельнозерновые макароны | 0.0295 | 221
гамбургер, яйца | 0.0288 | 216
зеленый чай, картофель-фри | 0.0285 | 214
замороженные овощи, макароны | 0.0283 | 212
зеленый чай, макароны | 0.0281 | 211
красное вино | 0.0281 | 211
минеральная вода, оливковое масло | 0.0276 | 207
минеральная вода, торт | 0.0275 | 206
йогурт | 0.0273 | 205
минеральная вода, рис | 0.0273 | 205
низкокалорийный майонез | 0.0272 | 204
энергетический батончик | 0.0271 | 203
энергетический напиток | 0.0267 | 200
ветчина | 0.0265 | 199
перец | 0.0265 | 199
овощная смесь | 0.0257 | 193
хлопья | 0.0257 | 193
блинчики, макароны | 0.0256 | 192
зеленый чай, яйца | 0.0255 | 191
креветки, макароны | 0.0252 | 189
гамбургер, минеральная вода | 0.0244 | 183
минеральная вода, помидоры | 0.0244 | 183
маффины | 0.0241 | 181
минеральная вода, низкокалорийный йогурт | 0.0240 | 180
картофель-фри, молоко | 0.0237 | 178
макароны, оливковое масло | 0.0237 | 178
замороженные овощи, молоко | 0.0236 | 177
креветки, минеральная вода | 0.0236 | 177
зеленый чай, шоколад | 0.0235 | 176
гамбургер, макароны | 0.0232 | 174
говяжий фарш, шоколад | 0.0231 | 173
масло | 0.0231 | 173
минеральная вода, суп | 0.0231 | 173
замороженные овощи, шоколад | 0.0229 | 172
курица, минеральная вода | 0.0228 | 171
протеиновый батончик | 0.0225 | 169
французское вино | 0.0225 | 169
свежий тунец | 0.0223 | 167
гамбургер, картофель-фри | 0.0220 | 165
говяжий фарш, молоко | 0.0220 | 165
блинчики, яйца | 0.0217 | 163
замороженные овощи, яйца | 0.0217 | 163
макароны, помидоры | 0.0216 | 162
клубника | 0.0213 | 160
фрикадельки | 0.0209 | 157
миндаль | 0.0204 | 153
замороженный смузи, минеральная вода | 0.0203 | 152
блинчики, картофель-фри | 0.0201 | 151
минеральная вода, растительное масло | 0.0201 | 151
говяжий фарш, яйца | 0.0200 | 150
блинчики, шоколад | 0.0199 | 149
макароны, рис | 0.0199 | 149
пармезан | 0.0199 | 149
макароны, эскалоп | 0.0196 | 147
индейка, яйца | 0.0195 | 146
индейка, минеральная вода | 0.0192 | 144
грибной соус | 0.0191 | 143
замороженные овощи, картофель-фри | 0.0191 | 143
торт, яйца | 0.0191 | 143
макароны, торт | 0.0185 | 139
креветки, шоколад | 0.0180 | 135
гамбургер, молоко | 0.0179 | 134
картофель-фри, торт | 0.0179 | 134
курица, макароны | 0.0177 | 133
зеленый чай, молоко | 0.0176 | 132
креветки, молоко | 0.0176 | 132
шоколад, эскалоп | 0.0176 | 132
гамбургер, зеленый чай | 0.0175 | 131
минеральная вода, тертый сыр | 0.0175 | 131
мята | 0.0175 | 131
индейка, макароны | 0.0173 | 130
макароны, тертый сыр | 0.0173 | 130
говяжий фарш, макароны, минеральная вода | 0.0172 | 129
гамбургер, шоколад | 0.0171 | 128
лосось, минеральная вода | 0.0171 | 128
минеральная вода, травы и перец | 0.0171 | 128
минеральная вода, эскалоп | 0.0171 | 128
молоко, оливковое масло | 0.0171 | 128
рис, шоколад | 0.0171 | 128
говяжий фарш, замороженные овощи | 0.0169 | 127
низкокалорийный йогурт, яйца | 0.0168 | 126
замороженные овощи, креветки | 0.0167 | 125
белое вино | 0.0165 | 124
блинчики, молоко | 0.0165 | 124
блинчики, зеленый чай | 0.0164 | 123
картофель-фри, эскалоп | 0.0164 | 123
макароны, минеральная вода, шоколад | 0.0164 | 123
макароны, растительное масло | 0.0164 | 123
макароны, травы и перец | 0.0164 | 123
оливковое масло, шоколад | 0.0164 | 123
замороженные овощи, помидоры | 0.0161 | 121
замороженный смузи, макароны | 0.0161 | 121
макароны, минеральная вода, молоко | 0.0161 | 121
макароны, низкокалорийный йогурт | 0.0161 | 121
говяжий фарш, травы и перец | 0.0160 | 120
низкокалорийный крем | 0.0156 | 117
морковь | 0.0153 | 115
макароны, минеральная вода, яйца | 0.0152 | 114
молоко, суп | 0.0152 | 114
мед, минеральная вода | 0.0151 | 113
замороженный смузи, шоколад | 0.0149 | 112
картофель-фри, рис | 0.0149 | 112
макароны, суп | 0.0149 | 112
говяжий фарш, зеленый чай | 0.0148 | 111
курица, молоко | 0.0148 | 111
низкокалорийный йогурт, шоколад | 0.0148 | 111
курица, шоколад | 0.0147 | 110
блинчики, говяжий фарш | 0.0145 | 109
замороженный смузи, картофель-фри | 0.0145 | 109
замороженные овощи, зеленый чай | 0.0144 | 108
курица, яйца | 0.0144 | 108
замороженный смузи, молоко | 0.0143 | 107
молоко, рис | 0.0143 | 107
черный чай | 0.0143 | 107
говяжий фарш, оливковое масло | 0.0141 | 106
зеленый чай, торт | 0.0141 | 106
креветки, яйца | 0.0141 | 106
томатный соус | 0.0141 | 106
минеральная вода, молоко, шоколад | 0.0140 | 105
молоко, помидоры | 0.0140 | 105
помидоры, шоколад | 0.0140 | 105
рис, яйца | 0.0140 | 105
говяжий фарш, картофель-фри | 0.0139 | 104
лосось, макароны | 0.0137 | 103
белый сыр | 0.0136 | 102
растительное масло, шоколад | 0.0136 | 102
торт, шоколад | 0.0136 | 102
блинчики, замороженные овощи | 0.0135 | 101
жевательная резинка | 0.0135 | 101
минеральная вода, шоколад, яйца | 0.0135 | 101
картофель-фри, низкокалорийный йогурт | 0.0133 | 100
картофель-фри, печенье | 0.0133 | 100
минеральная вода, свежий хлеб | 0.0133 | 100
молоко, торт | 0.0133 | 100
баклажаны | 0.0132 | 99
молоко, низкокалорийный йогурт | 0.0132 | 99
минеральная вода, молоко, яйца | 0.0131 | 98
макароны, мед | 0.0128 | 96
травы и перец, яйца | 0.0125 | 94
газированная вода | 0.0124 | 93
зеленый чай, рис | 0.0124 | 93
говяжий фарш, рис | 0.0123 | 92
замороженные овощи, макароны, минеральная вода | 0.0123 | 92
зеленый чай, помидоры | 0.0123 | 92
помидоры, яйца | 0.0123 | 92
гамбургер, говяжий фарш | 0.0120 | 90
дыня | 0.0120 | 90
зеленый чай, печенье | 0.0120 | 90
картофель-фри, помидоры | 0.0120 | 90
оливковое масло, яйца | 0.0120 | 90
темный шоколад | 0.0120 | 90
блинчики, торт | 0.0119 | 89
зеленый чай, индейка | 0.0119 | 89
зеленый чай, курица | 0.0119 | 89
блинчики, макароны, минеральная вода | 0.0117 | 88
говяжий фарш, помидоры | 0.0117 | 88
растительное масло, яйца | 0.0117 | 88
авокадо, минеральная вода | 0.0116 | 87
шампанское, шоколад | 0.0116 | 87
батат | 0.0115 | 86
гамбургер, торт | 0.0115 | 86
говяжий фарш, креветки | 0.0115 | 86
дезодорант | 0.0115 | 86
зеленый чай, креветки | 0.0115 | 86
молоко, растительное масло | 0.0115 | 86
говяжий фарш, тертый сыр | 0.0113 | 85
замороженные овощи, оливковое масло | 0.0113 | 85
индейка, молоко | 0.0113 | 85
индейка, шоколад | 0.0113 | 85
замороженный смузи, зеленый чай | 0.0112 | 84
креветки, помидоры | 0.0112 | 84
макароны, молоко, шоколад | 0.0112 | 84
говяжий фарш, минеральная вода, молоко | 0.0111 | 83
замороженные овощи, минеральная вода, молоко | 0.0111 | 83
замороженные овощи, рис | 0.0111 | 83
замороженный смузи, яйца | 0.0111 | 83
картофель-фри, курица | 0.0111 | 83
эскалоп, яйца | 0.0111 | 83
говяжий фарш, минеральная вода, шоколад | 0.0109 | 82
журнал | 0.0109 | 82
красное вино, минеральная вода | 0.0109 | 82
макароны, шоколад, яйца | 0.0109 | 82
тертый сыр, шоколад | 0.0109 | 82
блинчики, оливковое масло | 0.0108 | 81
соус для барбекю | 0.0108 | 81
гамбургер, индейка | 0.0107 | 80
индейка, картофель-фри | 0.0107 | 80
лосось, шоколад | 0.0107 | 80
макароны, минеральная вода, оливковое масло | 0.0107 | 80
блинчики, гамбургер | 0.0105 | 79
блинчики, креветки | 0.0105 | 79
гамбургер, замороженные овощи | 0.0105 | 79
печенье, яйца | 0.0105 | 79
сидр | 0.0105 | 79
картофель-фри, макароны, минеральная вода | 0.0104 | 78
картофель-фри, тертый сыр | 0.0104 | 78
красное вино, макароны | 0.0104 | 78
макароны, перец | 0.0104 | 78
обезжиренное молоко | 0.0104 | 78
печенье, шоколад | 0.0104 | 78
гамбургер, рис | 0.0103 | 77
замороженные овощи, торт | 0.0103 | 77
минеральная вода, хлопья | 0.0103 | 77
говяжий фарш, минеральная вода, яйца | 0.0101 | 76
замороженные овощи, низкокалорийный йогурт | 0.0101 | 76
суп, шоколад | 0.0101 | 76
